long,lat,intensity
-180.0,29.0,36672.568666597595
-180.0,28.0,36307.50411648005
-180.0,27.0,35960.16584787996
-180.0,26.0,35630.82706535475
-180.0,25.0,35319.74994727379
-180.0,24.0,35027.19069886568
-180.0,23.0,34753.40443216876
-180.0,22.0,34498.649880919955
-180.0,21.0,34263.19392959774
-180.0,20.0,34047.31590058952
-180.0,19.0,33851.31150449446
-180.0,18.0,33675.49631914127
-180.0,17.0,33520.20862656387
-180.0,16.0,33385.81140764634
-180.0,15.0,33272.69327504015
-180.0,14.0,33181.26811953548
-180.0,13.0,33111.9732559888
-180.0,12.0,33065.265883937594
-180.0,11.0,33041.61772581641
-180.0,10.0,33041.50777152079
-180.0,9.0,33065.41313977447
-180.0,8.0,33113.79816062414
-180.0,7.0,33187.10188425911
-180.0,6.0,33285.724322856644
-180.0,5.0,33410.01182708804
-180.0,4.0,33560.24207982204
-180.0,3.0,33736.60924936038
-180.0,2.0,33939.20987728376
-180.0,1.0,34168.03007753737
-180.0,0.0,34422.93459195069
-180.0,-1.0,34703.658183881475
-180.0,-2.0,35009.799759703885
-180.0,-3.0,35340.81949348045
-180.0,-4.0,35696.03910124127
-180.0,-5.0,36074.64527676869
-180.0,-6.0,36475.696169701565
-180.0,-7.0,36898.13066742913
-180.0,-8.0,37340.78014146049
-180.0,-9.0,37802.38224154448
-180.0,-10.0,38281.59626936541
-180.0,-11.0,38777.01963854957
-180.0,-12.0,39287.204927449944
-180.0,-13.0,39810.67705267546
-180.0,-14.0,40345.95013052748
-180.0,-15.0,40891.543645806545
-180.0,-16.0,41445.997608172096
-180.0,-17.0,42007.886440996685
-180.0,-18.0,42575.831412574895
-180.0,-19.0,43148.51148145694
-180.0,-20.0,43724.67248413027
-180.0,-21.0,44303.13464257649
-180.0,-22.0,44882.79841037565
-180.0,-23.0,45462.64870859181
-180.0,-24.0,46041.7576267671
-180.0,-25.0,46619.28568046399
-180.0,-26.0,47194.481725749894
-180.0,-27.0,47766.681633860986
-180.0,-28.0,48335.30582719357
-180.0,-29.0,48899.8557720328
-180.0,-30.0,49459.90951532164
-180.0,-31.0,50015.11634355785
-180.0,-32.0,50565.19063275784
-180.0,-33.0,51109.90495039783
-180.0,-34.0,51649.08246423661
-180.0,-35.0,52182.5887096537
-180.0,-36.0,52710.322767111196
-180.0,-37.0,53232.20790485166
-180.0,-38.0,53748.18174903061
-180.0,-39.0,54258.186053971964
-180.0,-40.0,54762.15615872027
-180.0,-41.0,55260.010231934386
-180.0,-42.0,55751.63842462453
-180.0,-43.0,56236.89206833737
-180.0,-44.0,56715.57307409054
-180.0,-45.0,57187.42370355078
-180.0,-46.0,57652.11689753341
-180.0,-47.0,58109.24735682978
-180.0,-48.0,58558.323575719245
-180.0,-49.0,58998.761028522655
-180.0,-50.0,59429.8767036463
-180.0,-51.0,59850.88516745803
-180.0,-52.0,60260.89632195017
-180.0,-53.0,60658.91499573457
-180.0,-54.0,61043.842477929924
-180.0,-55.0,61414.48006968761
-180.0,-56.0,61769.53468934519
-180.0,-57.0,62107.62652558962
-180.0,-58.0,62427.29868971239
-180.0,-59.0,62727.028774277365
-180.0,-60.0,63005.24218252738
-180.0,-61.0,63260.32705180702
-180.0,-62.0,63490.65055628976
-180.0,-63.0,63694.57634035783
-180.0,-64.0,63870.48280496483
-180.0,-65.0,64016.781945948234
-180.0,-66.0,64131.93842611616
-180.0,-67.0,64214.48855246667
-180.0,-68.0,64263.05882637009
-180.0,-69.0,64276.383738114775
-180.0,-70.0,64253.32248787502
-180.0,-71.0,64192.87433276371
-180.0,-72.0,64094.192283911994
-180.0,-73.0,63956.594908041414
-180.0,-74.0,63779.57602422108
-180.0,-75.0,63562.81212773103
-180.0,-76.0,63306.167418377314
-180.0,-77.0,63009.696359276364
-180.0,-78.0,62673.643743008404
-180.0,-79.0,62298.44229399128
-180.0,-80.0,61884.70788774668
-180.0,-81.0,61433.232518170626
-180.0,-82.0,60944.97519172495
-180.0,-83.0,60421.05097139265
-180.0,-84.0,59862.718432112626
-180.0,-85.0,59271.365822121654
-180.0,-86.0,58648.496250231205
-180.0,-87.0,57995.71223672979
-180.0,-88.0,57314.699974711824
-180.0,-89.0,56607.21364878947
-179.0,90.0,56325.69242082582
-179.0,89.0,56479.38544907375
-179.0,88.0,56624.07371820649
-179.0,87.0,56758.76846688753
-179.0,86.0,56882.440949391836
-179.0,85.0,56994.02471466134
-179.0,84.0,57092.4189449902
-179.0,83.0,57176.49306470513
-179.0,82.0,57245.09279053206
-179.0,81.0,57297.04774504076
-179.0,80.0,57331.18069463477
-179.0,79.0,57346.318406544575
-179.0,78.0,57341.30404815427
-179.0,77.0,57315.01097999432
-179.0,76.0,57266.357724190886
-179.0,75.0,57194.32382633412
-179.0,74.0,57097.96627359702
-179.0,73.0,56976.43608807245
-179.0,72.0,56828.99468373785
-179.0,71.0,56655.02955958291
-179.0,70.0,56454.06890098751
-179.0,69.0,56225.79467641246
-179.0,68.0,55970.05384625178
-179.0,67.0,55686.86734405178
-179.0,66.0,55376.43654547481
-179.0,65.0,55039.14700523869
-179.0,64.0,54675.569314332075
