,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
72291,2007-02-18T00:00:00,,-34.6797,-54.2732,18,2,2007
73069,2007-10-26T00:00:00,2.0,-36.3848,-56.7066,26,10,2007
73315,2008-03-02T00:00:00,1.0,-32.8844,-71.5068,2,3,2008
73661,2005-02-05T00:00:00,40.0,-36.3848,-56.7066,5,2,2005
73989,2001-11-05T00:00:00,7.0,-25.2667,-57.6167,5,11,2001
74264,2009-09-10T00:00:00,2.0,-25.2777,-57.6312,10,9,2009
74320,2005-09-25T00:00:00,2.0,-33.0271,-61.7845,25,9,2005
74338,2009-12-14T00:00:00,1.0,-33.5304,-71.6023,14,12,2009
74437,2005-05-29T00:00:00,1.0,-34.6082,-58.354,29,5,2005
74495,2001-01-16T00:00:00,,-34.3364,-53.794,16,1,2001
74817,2009-03-21T00:00:00,1.0,-34.0411,151.19899999999998,21,3,2009
75027,2006-11-02T00:00:00,,-13.618,-71.7304,2,11,2006
75040,2006-10-28T00:00:00,,-34.7658,-56.416000000000004,28,10,2006
75235,2009-03-28T00:00:00,1.0,-34.0411,151.19899999999998,28,3,2009
75521,2006-09-02T00:00:00,,-25.6147,-57.498000000000005,2,9,2006
75635,2009-12-20T00:00:00,6.0,-36.2941,-56.7756,20,12,2009
75711,2006-02-18T00:00:00,,-11.870999999999999,-77.1475,18,2,2006
75726,2005-07-12T00:00:00,1.0,-17.3873,-66.2053,12,7,2005
76096,2005-03-06T00:00:00,,-0.510471,-78.226,6,3,2005
76497,2009-02-28T00:00:00,3.0,-18.4165,-70.3224,28,2,2009
76693,2008-10-14T00:00:00,,-34.8136,-55.3336,14,10,2008
76750,2009-02-13T00:00:00,18.0,-22.4075,-66.0055,13,2,2009
76853,2008-03-02T00:00:00,1.0,-32.8844,-71.5068,2,3,2008
77090,2004-02-08T00:00:00,2.0,-18.477,-70.3207,8,2,2004
77311,2009-03-16T00:00:00,2.0,-12.2141,-76.9893,16,3,2009
77799,2008-10-02T00:00:00,12.0,-34.8018,-55.3851,2,10,2008
77981,2009-03-22T00:00:00,1.0,-34.0411,151.19899999999998,22,3,2009
78245,2001-11-09T00:00:00,,-25.2991,-57.6379,9,11,2001
78735,2001-11-18T00:00:00,,-0.613108,-78.4744,18,11,2001
79222,2009-01-13T00:00:00,,-34.652,-54.1622,13,1,2009
79356,2009-02-01T00:00:00,18.0,-22.4075,-66.0055,1,2,2009
79629,2004-10-28T00:00:00,5.0,-25.2667,-57.6167,28,10,2004
79734,2008-11-23T00:00:00,,-31.3573,-51.0391,23,11,2008
80062,2007-02-03T00:00:00,,-34.0857,-53.7362,3,2,2007
80284,2004-02-17T00:00:00,,-6.91582,-79.8758,17,2,2004
80528,2003-12-13T00:00:00,,-36.2968,-56.7737,13,12,2003
80670,2003-01-30T00:00:00,1.0,-36.3786,-56.7182,30,1,2003
80931,2000-11-06T00:00:00,38.0,-25.2667,-57.6167,6,11,2000
81001,2003-11-07T00:00:00,,-36.2941,-56.7756,7,11,2003
81049,2009-01-13T00:00:00,17.0,-30.8167,-62.8833,13,1,2009
81309,2005-09-11T00:00:00,8.0,-36.4066,-56.9272,11,9,2005
81430,2003-09-10T00:00:00,7.0,-25.2667,-57.6167,10,9,2003
81594,2004-10-09T00:00:00,12.0,-25.2667,-57.6167,9,10,2004
82363,2005-05-19T00:00:00,,-36.2941,-56.7756,19,5,2005
82796,2000-10-09T00:00:00,12.0,-25.2667,-57.6167,9,10,2000
83432,2008-11-16T00:00:00,1.0,-12.2141,-76.9893,16,11,2008
83598,2006-01-07T00:00:00,,-34.6643,-54.1732,7,1,2006
83901,2009-01-22T00:00:00,11.0,-33.8145,-53.4457,22,1,2009
84069,2009-01-14T00:00:00,20.0,-30.875,-62.4745,14,1,2009
84142,2009-10-01T00:00:00,1.0,-22.4075,-66.0055,1,10,2009
