decimalLongitude,decimalLatitude,individualCount,year
-46,-23,3,2020
-53,-32,2,2020
-62,-30,6,2020
-57,-25,6,2020
-46,-23,3,2020
-57,-25,4,2020
-54,-33,9,2020
-72,-13,1,2020
-56,-36,12,2020
-63,-31,1,2020
-54,-34,8,2020
-61,-31,20,2020
-62,-17,2,2020
-56,-34,1,2020
-58,-34,10,2020
-54,-30,1,2020
-57,-25,18,2020
-54,-34,1,2020
-65,-22,4,2020
-74,4,5,2020
-57,-25,3,2020
-60,-31,11,2020
-54,-25,2,2020
-61,-34,5,2020
-66,-22,1,2020
-62,-30,2,2020
-54,-34,150,2020
-51,-31,2,2020
-76,3,3,2020
-55,-27,2,2020
-58,-33,3,2020
-57,-25,6,2020
-62,-30,6,2020
-70,-18,1,2020
-57,-25,15,2020
-58,-33,1,2020
-65,-22,5,2020
-57,-25,11,2020
-46,-23,40,2020
-72,-35,1,2020
-58,-34,1,2020
-53,-28,1,2020
-73,-3,12,2020
-62,-17,2,2020
-58,-34,2,2020
-79,-6,25,2020
-72,-13,4,2020
-58,-34,8,2020
-59,-33,4,2020
-57,-25,9,2020
-70,-12,1,2020
-56,-34,2,2020
-56,-34,2,2020
-60,-31,2,2020
-73,-3,12,2020
-58,-26,45,2020
-46,-23,4,2020
-56,-31,2,2020
-56,-37,5,2020
-54,-33,1,2020
-58,-37,3,2020
-70,-33,4,2020
-58,-26,20,2020
-54,-34,6,2020
-57,-25,18,2020
-58,-32,4,2020
-60,-24,10,2020
-61,-33,8,2020
-80,-5,8,2020
-57,-25,3,2020
-70,-38,1,2020
-60,-30,2,2020
-60,-31,3,2020
-70,-18,5,2020
-58,-33,1,2020
-61,-33,6,2020
-64,-30,1,2020
-56,-33,4,2020
-57,-25,20,2020
-58,-26,89,2020
-71,-13,10,2020
-57,-25,18,2020
-78,0,1,2020
-65,-24,1,2020
-55,-27,4,2020
-57,-25,22,2020
-45,-22,20,2020
-59,-33,7,2020
-57,-25,20,2020
-58,-33,1,2020
-57,-25,17,2020
-62,-30,4,2020
-45,-22,10,2020
-57,-25,1,2020
-57,-25,2,2020
-58,-34,25,2020
-65,-22,5,2020
-54,-30,1,2020
-56,-34,7,2020
-52,-31,2,2020
-54,-34,3,2020
-58,-34,5,2020
-60,-29,5,2020
-47,-21,4,2020
-60,-33,4,2020
-76,-12,4,2020
-56,-34,5,2020
-60,-30,1,2020
-56,-36,2,2020
-57,-30,5,2020
-58,-26,6,2020
-61,-33,3,2020
-58,-26,8,2020
-57,-30,8,2020
-58,-38,6,2020
-54,-33,3,2020
-51,-31,12,2020
-54,-25,10,2020
-58,-34,2,2020
-60,-31,5,2020
-57,-35,1,2020
-52,4,1,2020
-56,-27,1,2020
-46,-23,10,2020
-76,3,1,2020
-62,-30,50,2020
-51,-29,13,2020
-57,-25,8,2020
-59,-31,1,2020
-58,-33,1,2020
-58,-26,8,2020
-76,3,3,2020
-76,3,1,2020
-54,-34,15,2020
-58,-26,41,2020
-64,-32,1,2020
-59,-22,4,2020
-73,-3,1,2020
-62,-30,75,2020
-54,-34,8,2020
-57,-25,13,2020
-60,-29,70,2020
-53,-34,48,2020
-58,-34,3,2020
-57,-25,34,2020
-58,-34,15,2020
-61,-33,9,2020
-52,-31,2,2020
-58,-34,5,2020
-47,-21,4,2020
-55,-27,4,2020
-72,-13,2,2020
-57,-25,5,2020
-58,-26,6,2020
-60,-31,16,2020
-58,-34,3,2020
-57,-25,23,2020
-57,-30,50,2020
-57,-25,39,2020
-56,-27,1,2020
-59,-22,4,2020
-61,-33,17,2020
-60,-31,1,2020
-57,-37,8,2020
-46,-23,12,2020
-68,-26,19,2020
-54,-34,18,2020
-61,-29,2,2020
-59,-34,6,2020
-59,-30,7,2020
-57,-25,39,2020
-72,-13,7,2020
-69,-51,1,2020
-57,-25,11,2020
-60,-32,1,2020
-57,-30,6,2020
-60,-29,10,2020
-42,-22,1,2020
-76,-13,2,2020
-60,-31,3,2020
-56,-29,1,2020
-60,-31,2,2020
-58,-26,40,2020
-54,-33,6,2020
-72,4,6,2020
-46,-24,2,2020
-66,-13,2,2020
-54,-34,55,2020
-58,-34,46,2020
-57,-25,66,2020
-54,-34,4,2020
-57,-25,88,2020
-62,-30,10,2020
-59,-32,1,2020
-60,-31,4,2020
-62,-30,10,2020
-73,-15,43,2020
-60,-29,35,2020
-76,0,3,2020
-62,-30,5,2020
-57,-25,5,2020
-65,-22,5,2020
-57,-25,4,2020
-58,-32,22,2020
-54,-34,4,2020
-56,-33,3,2020
-56,-34,1,2020
-60,-29,32,2020
-54,-34,11,2020
-57,-25,13,2020
-77,-11,1,2020
-57,-25,10,2020
-60,-31,1,2020
-58,-33,8,2020
-56,-27,1,2020
-57,-25,2,2020
-54,-34,3,2020
-62,-29,1,2020
-57,-25,2,2020
-57,-25,110,2020
-50,-31,2,2020
-78,-2,14,2020
-58,-33,8,2020
-58,-33,8,2020
-57,-25,1,2020
-68,-25,4,2020
-54,-34,1,2020
-58,-26,80,2020
-76,3,3,2020
-57,-25,19,2020
-63,-32,1,2020
-58,-33,1,2020
-60,-29,3,2020
-60,-29,40,2020
-53,-33,8,2020
-57,-35,3,2020
-58,-33,1,2020
-67,-53,1,2020
-57,-25,84,2020
-58,-33,5,2020
-63,-32,20,2020
-70,-18,9,2020
-57,-25,12,2020
-54,-34,1,2020
-70,-15,1,2020
-75,-11,1,2020
-54,-34,3,2020
-65,-22,18,2020
-64,-12,1,2020
-56,-34,3,2020
-57,-25,2,2020
-54,-34,2,2020
-57,-28,1,2020
-61,-31,16,2020
-57,-34,5,2020
-63,-35,1,2020
-73,-3,12,2020
-58,-34,1,2020
-57,-25,17,2020
-58,-34,7,2020
-47,-24,3,2020
-70,-18,2,2020
-63,-31,15,2020
-53,-28,7,2020
-47,-21,2,2020
-71,-29,1,2020
-57,-25,5,2020
-69,-12,4,2020
-57,-25,7,2020
-68,-22,2,2020
-61,-29,15,2020
-56,-34,4,2020
-57,-30,7,2020
-57,-25,38,2020
-57,-25,20,2020
-57,-25,3,2020
-66,-17,14,2020
-62,-34,62,2020
-57,-25,34,2020
-78,0,2,2020
-58,-26,20,2020
-58,-34,12,2020
-57,-25,3,2020
-57,-25,5,2020
-65,-22,5,2020
-52,-23,2,2020
-71,-13,1,2020
-60,-32,200,2020
-58,-26,81,2020
-56,-27,1,2020
-54,-34,4,2020
-58,-34,19,2020
-58,-32,3,2020
-68,-22,2,2020
-57,-25,1,2020
-76,-13,6,2020
-71,-13,10,2020
-58,-26,16,2020
-61,-31,5,2020
-76,3,1,2020
-70,-33,1,2020
-57,-25,1,2020
-57,-25,17,2020
-55,-34,3,2020
-57,-30,15,2020
-57,-30,6,2020
-58,-34,10,2020
-61,-31,22,2020
-57,-25,17,2020
-71,-13,8,2020
-54,-34,150,2020
-67,-53,1,2020
-54,-30,2,2020
-58,-34,28,2020
-57,-28,1,2020
-60,-31,6,2020
-51,-30,89,2020
-58,-26,3,2020
-73,-3,1,2020
-60,-32,10,2020
-57,-25,5,2020
-55,-27,1,2020
-70,-38,1,2020
-62,-30,4,2020
-57,-25,5,2020
-58,-26,40,2020
-57,-25,18,2020
-46,-23,4,2020
-57,-25,13,2020
-56,-34,2,2020
-57,-25,7,2020
-63,-31,11,2020
-57,-25,20,2020
-57,-25,5,2020
-47,-24,1,2020
-59,-22,1,2020
-78,-2,4,2020
-57,-25,5,2020
-60,-31,1,2020
-58,-33,3,2020
-60,-33,4,2020
-54,-34,1,2020
-78,0,2,2020
-72,-13,1,2020
-61,-31,2,2020
-58,-26,5,2020
-57,-25,4,2020
-57,-25,22,2020
-60,-29,32,2020
-57,-25,12,2020
-54,-34,2,2020
-57,-34,1,2020
-69,-12,1,2020
-58,-27,120,2020
-76,3,1,2020
-58,-33,1,2020
-58,-34,8,2020
-71,-17,1,2020
-57,-25,5,2020
-58,-27,120,2020
-60,-29,30,2020
-77,-11,1,2020
-60,-33,20,2020
-54,-34,2,2020
-60,-31,3,2020
-47,-24,3,2020
-66,-17,1,2020
-57,-24,7,2020
-70,-17,6,2020
-60,-31,1,2020
-76,3,1,2020
-58,-34,15,2020
-57,-25,8,2020
-54,-34,6,2020
-57,-25,10,2020
-64,-27,1,2020
-57,-25,1,2020
-60,-31,1,2020
-76,3,1,2020
-44,-23,1,2020
-54,-32,1,2020
-57,-25,74,2020
-58,-32,5,2020
-70,-33,1,2020
-57,-30,8,2020
-54,-34,3,2020
-57,-25,30,2020
-57,-25,18,2020
-54,-34,4,2020
-57,-25,40,2020
-60,-30,3,2020
-58,-26,8,2020
-62,-30,10,2020
-57,-25,1,2020
-62,-33,8,2020
-54,-34,1,2020
-68,-22,1,2020
-58,-34,19,2020
-59,-33,2,2020
-62,-33,2,2020
-58,-26,80,2020
-57,-30,4,2020
-53,-28,1,2020
-58,-26,6,2020
-57,-34,5,2020
-57,-25,3,2020
-70,-15,2,2020
-57,-24,1,2020
-64,-32,2,2020
-57,-25,36,2020
-58,-26,2,2020
-57,-25,10,2020
-57,-25,1,2020
-62,-30,14,2020
-56,-27,1,2020
-62,-30,6,2020
-80,-2,2,2020
-60,-29,5,2020
-61,-33,1,2020
-79,-6,3,2020
-61,-33,8,2020
-54,-34,4,2020
-58,-27,251,2020
-78,0,1,2020
-72,-13,4,2020
-44,-22,5,2020
-54,-34,25,2020
-66,-17,14,2020
-56,-27,1,2020
-62,-17,3,2020
-69,-18,1,2020
-63,-31,10,2020
-76,3,1,2020
-54,-33,12,2020
-60,-24,10,2020
-73,-3,15,2020
-58,-31,5,2020
-58,-33,3,2020
-72,-13,1,2020
-59,-34,40,2020
-61,-33,230,2020
-70,-4,12,2020
-52,-31,4,2020
-47,-22,2,2020
-58,-26,2,2020
-58,-34,5,2020
-50,-30,2,2020
-57,-25,6,2020
-60,-34,1,2020
-56,-34,2,2020
-79,-6,25,2020
-46,-23,4,2020
-62,-29,20,2020
-61,-31,5,2020
-58,-34,1,2020
-56,-25,1,2020
-54,-34,1,2020
-54,-25,3,2020
-62,-30,12,2020
-63,-31,12,2020
-57,-25,21,2020
-56,-33,7,2020
-60,-31,3,2020
-57,-25,3,2020
-58,-33,14,2020
-58,-33,3,2020
-70,-38,1,2020
-57,-25,12,2020
-57,-25,2,2020
-54,-34,4,2020
-80,-3,1,2020
-57,-35,2,2020
-60,-31,45,2020
-51,-21,4,2020
-72,-13,1,2020
-60,-31,2,2020
-60,-31,45,2020
-77,-11,1,2020
-50,-31,10,2020
-60,-32,3,2020
-64,-30,1,2020
-61,-32,20,2020
-60,-29,40,2020
-59,-33,3,2020
-57,-25,1,2020
-47,-22,2,2020
-54,-34,11,2020
-62,-34,265,2020
-58,-26,45,2020
-55,-34,1,2020
-60,-30,35,2020
-79,-6,4,2020
-76,-13,3,2020
-56,-27,2,2020
-61,-30,1,2020
-60,-31,1,2020
-72,-16,1,2020
-73,-3,65,2020
-62,-30,6,2020
-70,-12,1,2020
-57,-25,7,2020
-68,-26,2,2020
-73,-3,1,2020
-58,-30,1,2020
-70,-4,12,2020
-70,-3,3,2020
-57,-25,154,2020
-56,-36,1,2020
-57,-16,2,2020
-54,-34,1,2020
-76,3,1,2020
-76,0,4,2020
-54,-34,11,2020
-57,-25,2,2020
-50,-29,25,2020
-73,-3,15,2020
-54,-34,3,2020
-59,-28,8,2020
-70,-4,20,2020
-57,-25,31,2020
-57,-35,1,2020
-71,-16,2,2020
-54,-34,2,2020
-69,-51,1,2020
-70,-33,2,2020
-58,-26,6,2020
-58,-34,5,2020
-58,-34,1,2020
-54,-34,14,2020
-53,-32,20,2020
-57,-25,6,2020
-60,-31,3,2020
-76,3,1,2020
-58,-30,1,2020
-51,-31,1,2020
-60,-29,5,2020
-57,-25,22,2020
-57,-34,6,2020
-57,-25,1,2020
-58,-33,5,2020
-60,-31,20,2020
-58,-34,1,2020
-58,-36,1,2020
-76,3,10,2020
-57,-25,73,2020
-77,-11,1,2020
-58,-33,12,2020
-62,-16,2,2020
-51,-31,30,2020
-54,-34,1,2020
-58,-32,4,2020
-57,-30,10,2020
-72,-35,1,2020
-48,-26,1,2020
-70,-33,1,2020
-71,-13,1,2020
-76,3,2,2020
-56,-34,13,2020
-76,3,1,2020
-52,-23,1,2020
-78,0,2,2020
-62,-30,1,2020
-58,-32,2,2020
-54,-32,3,2020
-59,-29,1,2020
-58,-34,6,2020
-58,-26,20,2020
-57,-25,6,2020
-71,-13,1,2020
-57,-35,3,2020
-58,-34,1,2020
-60,-31,1,2020
-76,-12,1,2020
-60,-32,1,2020
-58,-26,9,2020
-57,-34,1,2020
-47,-24,2,2020
-55,-27,2,2020
-58,-34,30,2020
-62,-17,1,2020
-57,-35,1,2020
-60,-33,2,2020
-61,-31,6,2020
-58,-32,1,2020
-57,-25,6,2020
-58,-33,1,2020
-76,3,1,2020
-56,-36,12,2020
-57,-25,96,2020
-60,-29,32,2020
-60,-31,2,2020
-45,-22,5,2020
-54,-33,4,2020
-54,-30,1,2020
-62,-30,3,2020
-71,-13,2,2020
-64,-32,1,2020
-60,-33,9,2020
-57,-25,7,2020
-56,-33,6,2020
-46,-24,1,2020
-57,-30,4,2020
-60,-31,2,2020
-58,-35,1,2020
-57,-25,35,2020
-57,-30,15,2020
-66,-11,1,2020
-60,-33,1,2020
-56,-34,13,2020
-60,-30,3,2020
-57,-25,8,2020
-57,-30,15,2020
-63,-35,1,2020
-58,-34,3,2020
-66,-27,1,2020
-60,-33,30,2020
-56,-36,4,2020
-57,-30,7,2020
-46,-23,1,2020
-49,-25,2,2020
-58,-20,22,2020
-58,-34,3,2020
-54,-25,2,2020
-58,-34,15,2020
-57,-25,1,2020
-58,-35,2,2020
-58,-33,1,2020
-60,-22,4,2020
-54,-30,1,2020
-44,-23,1,2020
-56,-16,4,2020
-45,-22,5,2020
-60,-33,5,2020
-61,-30,100,2020
-60,-31,12,2020
-57,-37,3,2020
-58,-33,1,2020
-60,-31,1,2020
-61,-28,1,2020
-58,-34,1,2020
-58,-33,2,2020
-50,-31,1,2020
-61,-31,6,2020
-57,-25,5,2020
-62,-30,1,2020
-58,-33,1,2020
-58,-34,1,2020
-59,-33,1,2020
-54,-34,4,2020
-58,-32,3,2020
-62,-30,6,2020
-48,-26,16,2020
-60,-31,8,2020
-60,-30,6,2020
-58,-34,19,2020
-57,-25,1,2020
-54,-34,4,2020
