,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
81342,2/9/2020 0:00,3.0,-34.678709999999995,-58.445526,9.0,2.0,2020.0
81343,1/19/2020 0:00,4.0,-39.534725,-69.23089,19.0,1.0,2020.0
81350,10/27/2020 0:00,4.0,-34.68023,-58.445164,27.0,10.0,2020.0
81351,11/24/2019 0:00,2.0,-44.80167,-65.71378,24.0,11.0,2019.0
81352,10/29/2016 0:00,6.0,-31.7675,-52.25139,29.0,10.0,2016.0
81353,10/25/2019 0:00,2.0,-33.379257,-58.76919,25.0,10.0,2019.0
81354,11/19/2016 0:00,4.0,-31.8721,-60.49374399999999,19.0,11.0,2016.0
81357,1/30/2020 0:00,1.0,-25.620892,-54.541847,30.0,1.0,2020.0
81363,3/15/2015 0:00,4.0,-12.606667999999999,-69.0392,15.0,3.0,2015.0
81364,4/30/2006 0:00,1.0,-0.47755600000000004,-76.30374,30.0,4.0,2006.0
81365,10/21/2020 0:00,2.0,-33.330529999999996,-68.72429,21.0,10.0,2020.0
81370,10/14/2020 0:00,2.0,-24.26821,-48.412758000000004,14.0,10.0,2020.0
81372,10/6/2019 0:00,1.0,-26.202244,-58.165073,6.0,10.0,2019.0
81373,10/2/2009 0:00,12.0,-32.91754,-61.223503,2.0,10.0,2009.0
81376,1/12/2020 0:00,2.0,-25.606855,-54.548759999999994,12.0,1.0,2020.0
81383,2/27/2020 0:00,2.0,-17.02744,-61.862536999999996,27.0,2.0,2020.0
81384,10/17/2020 0:00,1.0,-34.780696999999996,-58.146907999999996,17.0,10.0,2020.0
81386,10/11/2018 0:00,3.0,-24.311773000000002,-64.96390500000001,11.0,10.0,2018.0
81388,11/27/2018 0:00,1.0,-30.434618,-60.172993000000005,27.0,11.0,2018.0
81390,10/19/2019 0:00,2.0,-24.171999999999997,-64.006,19.0,10.0,2019.0
81393,1/27/2019 0:00,1.0,-21.224367,-50.397385,27.0,1.0,2019.0
81395,10/31/2019 0:00,4.0,-34.909504,-54.900635,31.0,10.0,2019.0
81397,11/9/2019 0:00,1.0,-34.492,-58.47916800000001,9.0,11.0,2019.0
81402,2/15/2020 0:00,20.0,-33.502182,-58.671425,15.0,2.0,2020.0
81404,9/25/2019 0:00,1.0,-20.085772,-56.61538,25.0,9.0,2019.0
81406,12/26/2019 0:00,2.0,-37.28232,-64.59124,26.0,12.0,2019.0
81409,12/28/2019 0:00,1.0,-23.70669,-64.72799,28.0,12.0,2019.0
81410,9/26/2020 0:00,1.0,-25.267828,-57.61260600000001,26.0,9.0,2020.0
81411,1/14/2018 0:00,4.0,-38.15,-58.7833,14.0,1.0,2018.0
81413,10/7/2020 0:00,1.0,-18.18305,-63.87724300000001,7.0,10.0,2020.0
81415,12/26/2015 0:00,1.0,-35.234962,-57.273617,26.0,12.0,2015.0
81418,12/9/2020 0:00,2.0,-31.293521999999996,-57.867805000000004,9.0,12.0,2020.0
81420,2/4/2018 0:00,1.0,-34.562129999999996,-58.42572,4.0,2.0,2018.0
81421,11/29/2019 0:00,1.0,-23.326538,-51.196163,29.0,11.0,2019.0
81425,12/16/2012 0:00,6.0,-17.657845000000002,-63.142548,16.0,12.0,2012.0
81426,10/23/2018 0:00,15.0,-30.604665999999998,-57.75216700000001,23.0,10.0,2018.0
81427,9/5/2018 0:00,1.0,-21.236162,-48.344134999999994,5.0,9.0,2018.0
81433,10/19/2019 0:00,1.0,-29.511999999999997,-50.108999999999995,19.0,10.0,2019.0
81437,1/5/2020 0:00,1.0,-34.447536,-57.85426700000001,5.0,1.0,2020.0
81439,10/17/2020 0:00,2.0,-26.39455,-58.299071999999995,17.0,10.0,2020.0
81440,10/31/2020 0:00,2.0,-25.515411,-54.58505600000001,31.0,10.0,2020.0
81443,11/14/2015 0:00,2.0,-23.481699,-46.53351,14.0,11.0,2015.0
81445,2/6/2012 0:00,1.0,-32.059593,-60.64451999999999,6.0,2.0,2012.0
81448,12/6/2020 0:00,4.0,-17.94836,-63.160571999999995,6.0,12.0,2020.0
81450,1/27/2019 0:00,1.0,-3.290055,-60.188796999999994,27.0,1.0,2019.0
81451,1/3/2020 0:00,1.0,-38.55511,-58.76869,3.0,1.0,2020.0
81452,12/7/2019 0:00,16.0,-38.054226,-57.724734999999995,7.0,12.0,2019.0
81454,10/19/2019 0:00,4.0,-37.277836,-64.574776,19.0,10.0,2019.0
81455,11/9/2019 0:00,5.0,-35.030066999999995,-64.23234599999999,9.0,11.0,2019.0
81456,9/27/2017 0:00,1.0,-8.495818,-60.960407,27.0,9.0,2017.0
81459,1/22/2019 0:00,1.0,-32.149235,-53.750637,22.0,1.0,2019.0
81460,9/5/2017 0:00,2.0,-19.852623,-43.978764,5.0,9.0,2017.0
81462,1/5/2020 0:00,2.0,-23.187079999999998,-45.911873,5.0,1.0,2020.0
81464,10/31/2019 0:00,6.0,-34.63642,-54.190833999999995,31.0,10.0,2019.0
81466,12/13/2019 0:00,1.0,-30.38778,-59.184948,13.0,12.0,2019.0
81470,1/5/2019 0:00,2.0,-24.732623999999998,-65.419945,5.0,1.0,2019.0
81474,10/19/2019 0:00,1.0,-31.15063,-64.34208000000001,19.0,10.0,2019.0
81475,9/4/2018 0:00,1.0,-22.393581,-47.544205,4.0,9.0,2018.0
81476,1/29/2017 0:00,20.0,-37.464504,-57.11277,29.0,1.0,2017.0
81479,10/2/2019 0:00,1.0,-22.964699,-48.401984999999996,2.0,10.0,2019.0
81484,8/6/2016 0:00,2.0,-15.779059,-48.852608000000004,6.0,8.0,2016.0
81489,10/4/2015 0:00,2.0,-35.211826,-58.64515,4.0,10.0,2015.0
81492,10/25/2017 0:00,1.0,-24.917421,-64.959755,25.0,10.0,2017.0
