,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
2796,2/14/2019 0:00,105.0,-51.61803,-69.20421,14.0,2.0,2019.0
2801,11/19/1986 0:00,5.0,-34.79167,-55.397156,19.0,11.0,1986.0
2813,1/24/2015 0:00,1.0,-34.95349,150.7628,24.0,1.0,2015.0
2828,4/6/2020 0:00,5.0,-34.81361,-55.33359,6.0,4.0,2020.0
2847,9/26/2016 0:00,70.0,-51.673195,-69.13748000000001,26.0,9.0,2016.0
2851,2/4/2020 0:00,15.0,-27.053465000000003,-58.710724,4.0,2.0,2020.0
2884,2/12/2016 0:00,40.0,-52.9911,-70.81645,12.0,2.0,2016.0
2892,2/12/2011 0:00,20.0,-53.7861,-67.73029,12.0,2.0,2011.0
2921,11/1/2011 0:00,1.0,-53.161213000000004,-70.39889000000001,1.0,11.0,2011.0
2934,6/10/2020 0:00,5.0,-33.7,-61.4667,10.0,6.0,2020.0
2951,3/20/2016 0:00,4.0,-52.79475,-71.06253000000001,20.0,3.0,2016.0
2968,11/23/2013 0:00,1.0,-27.490913,-55.738533,23.0,11.0,2013.0
2972,10/30/2016 0:00,1.0,-24.3173,-46.995625,30.0,10.0,2016.0
3006,12/25/2017 0:00,7.0,-34.795345000000005,-55.875362,25.0,12.0,2017.0
3065,12/27/2019 0:00,6.0,-30.491096000000002,-60.041416000000005,27.0,12.0,2019.0
3091,5/2/2018 0:00,10.0,-26.708840000000002,-58.538169999999994,2.0,5.0,2018.0
3104,1/25/2019 0:00,60.0,-33.5591,-53.1208,25.0,1.0,2019.0
3113,10/2/2017 0:00,1.0,-17.282626999999998,-56.698809999999995,2.0,10.0,2017.0
3124,12/9/2018 0:00,35.0,-31.2333,-60.5333,9.0,12.0,2018.0
3136,2/10/2019 0:00,2.0,-52.47614300000001,-69.37943,10.0,2.0,2019.0
3155,10/13/2019 0:00,30.0,-37.894405,-62.546665000000004,13.0,10.0,2019.0
3156,10/31/2018 0:00,2.0,-53.394478,-69.95255999999999,31.0,10.0,2018.0
3176,1/5/2020 0:00,110.0,-36.341125,-56.747147,5.0,1.0,2020.0
3195,12/6/2020 0:00,12.0,-33.7,-61.4667,6.0,12.0,2020.0
3232,1/4/2018 0:00,1.0,-51.7299,-72.4982,4.0,1.0,2018.0
3241,11/6/2018 0:00,16.0,-51.66427,-69.20939,6.0,11.0,2018.0
3245,11/29/2013 0:00,30.0,-28.512102000000002,-48.798325,29.0,11.0,2013.0
3249,1/18/2020 0:00,2.0,-34.679665,-54.273185999999995,18.0,1.0,2020.0
3261,3/7/2018 0:00,2000.0,-51.614605,-69.01199,7.0,3.0,2018.0
3282,10/3/2018 0:00,1.0,-11.888369,-71.40795,3.0,10.0,2018.0
3290,9/24/2015 0:00,1.0,-3.252951,-59.960632,24.0,9.0,2015.0
3319,10/19/2019 0:00,11.0,-34.84284,-54.67481,19.0,10.0,2019.0
3326,9/17/2014 0:00,20.0,-1.026137,-46.96441,17.0,9.0,2014.0
3328,1/16/2017 0:00,1.0,-50.32522,-72.26632,16.0,1.0,2017.0
3345,12/27/2000 0:00,1.0,-25.266666,-57.616665000000005,27.0,12.0,2000.0
3365,2/6/1981 0:00,1639.0,-30.341843,-50.267773,6.0,2.0,1981.0
3373,2/6/2015 0:00,50.0,-51.716393,-72.52917,6.0,2.0,2015.0
3379,9/9/2020 0:00,8.0,-25.410093,-57.58184,9.0,9.0,2020.0
3380,3/28/2019 0:00,10.0,-36.4956,-57.01376,28.0,3.0,2019.0
3384,11/5/2012 0:00,10.0,-52.43206,-59.095543000000006,5.0,11.0,2012.0
3406,2/25/1993 0:00,660.0,-40.76724,-65.03945,25.0,2.0,1993.0
3429,11/11/2017 0:00,600.0,-51.614605,-69.01199,11.0,11.0,2017.0
3436,10/13/2019 0:00,2.0,-30.925714000000003,-62.88454,13.0,10.0,2019.0
3437,12/8/2019 0:00,10.0,-32.07927,-60.95199,8.0,12.0,2019.0
3442,9/28/1983 0:00,200.0,-36.294113,-56.775604,28.0,9.0,1983.0
3450,10/10/2020 0:00,25.0,-37.642146999999994,-57.426025,10.0,10.0,2020.0
3456,11/16/2017 0:00,20.0,-52.407394000000004,-69.57135,16.0,11.0,2017.0
3467,9/20/2020 0:00,8.0,-25.260033,-57.606773,20.0,9.0,2020.0
3498,12/8/2006 0:00,2.0,-51.626896,-69.2461,8.0,12.0,2006.0
3516,3/26/2017 0:00,800.0,-40.75558,-64.93932,26.0,3.0,2017.0
3557,3/8/2018 0:00,58.0,-37.744385,-57.42699399999999,8.0,3.0,2018.0
3575,9/21/2015 0:00,12.0,-51.673195,-69.13748000000001,21.0,9.0,2015.0
3590,11/3/2017 0:00,200.0,-31.283245,-50.94425,3.0,11.0,2017.0
3594,10/19/2019 0:00,130.0,-33.66806,-61.45013,19.0,10.0,2019.0
3655,1/27/2019 0:00,482.0,-36.27981,-57.1153,27.0,1.0,2019.0
3662,11/22/2019 0:00,2.0,-51.614605,-69.01199,22.0,11.0,2019.0
3669,1/25/2019 0:00,26.0,-38.748055,-62.324481999999996,25.0,1.0,2019.0
3711,4/26/2020 0:00,10.0,-34.878296,-54.915516000000004,26.0,4.0,2020.0
3715,9/3/1985 0:00,1.0,-34.79167,-55.397156,3.0,9.0,1985.0
3720,10/24/2015 0:00,1.0,-25.270166,-57.608833,24.0,10.0,2015.0
3733,2/29/2016 0:00,10.0,-30.945814000000002,-62.712364,29.0,2.0,2016.0
3750,10/21/1995 0:00,1.0,-20.630579,-59.881009999999996,21.0,10.0,1995.0
3757,10/22/2016 0:00,6.0,-34.765823,-56.41599300000001,22.0,10.0,2016.0
3773,12/6/2013 0:00,45.0,-53.7861,-67.73029,6.0,12.0,2013.0
3790,12/13/2015 0:00,20.0,-31.256308,-50.982895,13.0,12.0,2015.0
3798,10/17/2020 0:00,3.0,-47.744205,-65.84834000000001,17.0,10.0,2020.0
3804,2/25/2019 0:00,3.0,-53.955715000000005,-70.11027,25.0,2.0,2019.0
3806,11/21/2019 0:00,30.0,-34.836665999999994,-54.63133199999999,21.0,11.0,2019.0
3821,5/23/2019 0:00,2.0,-31.359059999999996,-51.040207,23.0,5.0,2019.0
3843,9/26/1979 0:00,8.0,-51.695644,-57.779663,26.0,9.0,1979.0
3849,10/12/2010 0:00,2.0,-16.456923,-56.69135,12.0,10.0,2010.0
3860,12/8/2019 0:00,2.0,-24.27197,-46.930023,8.0,12.0,2019.0
3876,2/3/2020 0:00,1.0,-53.461967,-69.31055500000001,3.0,2.0,2020.0
3891,1/21/2017 0:00,150.0,-36.294113,-56.775604,21.0,1.0,2017.0
3896,11/14/2016 0:00,5.0,-53.116234,-70.8813,14.0,11.0,2016.0
3900,10/7/2016 0:00,500.0,-51.673195,-69.13748000000001,7.0,10.0,2016.0
3901,3/1/2020 0:00,500.0,-53.775238,-67.70003,1.0,3.0,2020.0
3908,3/17/2019 0:00,500.0,-40.784442999999996,-65.05167,17.0,3.0,2019.0
3948,4/26/2019 0:00,6.0,-24.976477,-47.90092,26.0,4.0,2019.0
3993,12/28/2020 0:00,1.0,-23.483864,-46.874393,28.0,12.0,2020.0
3997,10/7/2020 0:00,3.0,-25.266666,-57.616665000000005,7.0,10.0,2020.0
4004,11/30/2020 0:00,78.0,-30.875,-62.4745,30.0,11.0,2020.0
4011,12/8/2019 0:00,4.0,-31.2333,-60.5333,8.0,12.0,2019.0
4027,12/17/2016 0:00,7.0,-53.461967,-69.31055500000001,17.0,12.0,2016.0
4038,10/5/2013 0:00,2.0,-53.116234,-70.8813,5.0,10.0,2013.0
4044,12/12/2015 0:00,29.0,-27.407951,-48.427692,12.0,12.0,2015.0
4055,10/6/2017 0:00,3.0,-25.666439999999998,-48.480476,6.0,10.0,2017.0
4066,11/3/2014 0:00,7.0,-36.40137,-56.951115,3.0,11.0,2014.0
4087,2/23/2018 0:00,85.0,-53.756042,-67.72395,23.0,2.0,2018.0
4100,4/24/1993 0:00,245.0,-40.76724,-65.03945,24.0,4.0,1993.0
4109,12/13/2017 0:00,4.0,-52.735874,-71.06163000000001,13.0,12.0,2017.0
4149,3/27/2017 0:00,900.0,-53.7861,-67.73029,27.0,3.0,2017.0
4217,9/26/2019 0:00,1.0,-17.282626999999998,-56.698809999999995,26.0,9.0,2019.0
4245,11/3/2014 0:00,7.0,-36.40137,-56.951115,3.0,11.0,2014.0
4252,10/24/2016 0:00,3.0,-24.277843,-46.93763,24.0,10.0,2016.0
4255,3/9/2020 0:00,69.0,-53.75488299999999,-67.72528,9.0,3.0,2020.0
4257,5/13/2017 0:00,1.0,-38.8658,-60.115852000000004,13.0,5.0,2017.0
4289,1/28/2020 0:00,9.0,-53.116234,-70.8813,28.0,1.0,2020.0
4316,10/6/2005 0:00,33.0,-53.776,-67.700165,6.0,10.0,2005.0
4332,3/8/2014 0:00,5.0,-38.78037,-59.592369999999995,8.0,3.0,2014.0
4380,10/22/2016 0:00,200.0,-24.985214000000003,-47.851326,22.0,10.0,2016.0
4383,12/31/2016 0:00,9.0,-38.750084,-62.380607999999995,31.0,12.0,2016.0
4385,11/3/2018 0:00,5.0,-36.487559999999995,-57.00451999999999,3.0,11.0,2018.0
4390,11/3/2016 0:00,41.0,-51.647125,-69.22546,3.0,11.0,2016.0
4393,4/26/2018 0:00,11.0,-38.55087,-58.567432,26.0,4.0,2018.0
4428,5/13/2017 0:00,8.0,-52.392517,-68.43478,13.0,5.0,2017.0
4434,4/29/2018 0:00,120.0,-22.544320000000003,-59.309307,29.0,4.0,2018.0
4439,10/29/2016 0:00,60.0,-36.294113,-56.775604,29.0,10.0,2016.0
4452,2/4/2019 0:00,130.0,-45.134502000000005,-66.5355,4.0,2.0,2019.0
4463,3/29/2014 0:00,100.0,-37.2265,-56.939735,29.0,3.0,2014.0
4470,10/21/2018 0:00,100.0,-30.925714000000003,-62.88454,21.0,10.0,2018.0
4472,11/23/2017 0:00,4.0,-53.159664,-70.898575,23.0,11.0,2017.0
4478,4/30/2016 0:00,5.0,-5.129023999999999,-36.25946,30.0,4.0,2016.0
4490,1/6/2019 0:00,400.0,-52.40682,-69.57195,6.0,1.0,2019.0
4519,11/25/2019 0:00,250.0,-36.32172,-56.772774,25.0,11.0,2019.0
4528,10/4/2016 0:00,2.0,-20.44882,-63.208169999999996,4.0,10.0,2016.0
4535,10/11/2020 0:00,3.0,-34.765823,-56.41599300000001,11.0,10.0,2020.0
4539,5/9/2020 0:00,9.0,-34.878296,-54.915516000000004,9.0,5.0,2020.0
4552,10/7/2020 0:00,29.0,-34.664333,-54.17316999999999,7.0,10.0,2020.0
4559,11/10/2013 0:00,3.0,-53.116234,-70.8813,10.0,11.0,2013.0
4560,2/23/1984 0:00,25.0,-34.79167,-55.397156,23.0,2.0,1984.0
4562,10/16/2020 0:00,66.0,-50.95898,-69.22286,16.0,10.0,2020.0
4600,8/19/2020 0:00,2.0,-25.276,-57.632668,19.0,8.0,2020.0
