,eventDate,individualCount,decimalLatitude,decimalLongitude,day,month,year
116680,2018-11-14T00:00:00,3.0,-33.3252,-58.5124,14,11,2018
116691,2019-11-03T00:00:00,60.0,-34.6808,-54.2956,3,11,2019
116711,2010-02-11T00:00:00,3.0,-11.2116,-77.5966,11,2,2010
116755,2019-03-03T00:00:00,5.0,-18.4165,-70.3224,3,3,2019
116789,2018-11-18T00:00:00,,-22.4049,-65.9872,18,11,2018
116876,2017-09-21T00:00:00,2.0,-3.3759300000000003,-58.7515,21,9,2017
116897,2018-12-10T00:00:00,12.0,-36.2941,-56.7756,10,12,2018
116936,2017-10-23T00:00:00,150.0,-30.6369,-59.9583,23,10,2017
116948,2014-09-11T00:00:00,3.0,-13.7408,-66.0831,11,9,2014
116977,2018-02-10T00:00:00,11.0,-34.8492,-55.3043,10,2,2018
116999,2016-04-24T00:00:00,1.0,-23.7023,-70.4242,24,4,2016
117059,2017-10-15T00:00:00,8.0,-38.852,-59.9806,15,10,2017
117089,2017-05-13T00:00:00,2.0,-18.4165,-70.3224,13,5,2017
117120,2013-11-06T00:00:00,1.0,-17.0759,-66.5001,6,11,2013
117160,2016-04-16T00:00:00,8.0,-18.4165,-70.3224,16,4,2016
117166,2016-02-20T00:00:00,1.0,-23.726,-67.7712,20,2,2016
117191,2017-12-02T00:00:00,1.0,-31.2563,-50.9829,2,12,2017
117196,2018-02-13T00:00:00,15.0,-32.2144,-52.4047,13,2,2018
117267,2017-01-17T00:00:00,4.0,-34.6183,-54.2921,17,1,2017
117294,2018-11-07T00:00:00,1.0,-36.3202,-56.7468,7,11,2018
117314,2013-02-14T00:00:00,,-17.1384,-71.8702,14,2,2013
117328,2017-11-21T00:00:00,40.0,-36.387,-56.9881,21,11,2017
117364,2019-01-20T00:00:00,3.0,-34.8019,-55.3844,20,1,2019
117404,2018-10-30T00:00:00,8.0,-34.8415,-54.6746,30,10,2018
117409,2018-09-10T00:00:00,1.0,-22.6701,-48.0118,10,9,2018
117411,2019-11-24T00:00:00,2.0,-13.436,-72.1304,24,11,2019
117432,2017-12-01T00:00:00,1.0,-31.3573,-51.0391,1,12,2017
117498,2019-03-01T00:00:00,15.0,-34.9005,-55.2367,1,3,2019
117506,2017-11-21T00:00:00,30.0,-36.4014,-56.9511,21,11,2017
117530,2018-01-07T00:00:00,1.0,-37.0273,-57.5058,7,1,2018
117534,2019-11-12T00:00:00,7.0,-24.3128,-47.0006,12,11,2019
117562,2014-07-21T00:00:00,1.0,-2.24606,-80.9417,21,7,2014
117593,2019-03-09T00:00:00,9.0,-18.4165,-70.3224,9,3,2019
117601,2019-11-09T00:00:00,5.0,-18.4165,-70.3224,9,11,2019
117629,2016-10-16T00:00:00,,-25.276,-57.6327,16,10,2016
117633,2018-01-19T00:00:00,,-32.0554,-51.9932,19,1,2018
117636,2017-02-04T00:00:00,2.0,-29.3065,-71.3632,4,2,2017
117650,2017-11-16T00:00:00,7.0,-33.3793,-58.7692,16,11,2017
117696,2016-10-22T00:00:00,,-34.8168,-55.32899999999999,22,10,2016
117743,2018-12-05T00:00:00,,-37.0179,-56.895,5,12,2018
117765,2012-03-03T00:00:00,1.0,-33.2186,-62.8821,3,3,2012
117766,2019-10-20T00:00:00,2.0,-34.6643,-54.1732,20,10,2019
117806,2019-11-10T00:00:00,14.0,-34.7702,-56.4126,10,11,2019
117865,2011-12-08T00:00:00,,-36.2941,-56.7756,8,12,2011
117927,2015-11-04T00:00:00,15.0,-34.8415,-54.6746,4,11,2015
117930,2017-10-29T00:00:00,80.0,-36.4795,-56.9847,29,10,2017
117933,2015-10-20T00:00:00,2.0,-51.6732,-69.1375,20,10,2015
117956,2017-10-15T00:00:00,,-36.2941,-56.7756,15,10,2017
117995,2017-12-02T00:00:00,22.0,-34.7658,-56.416000000000004,2,12,2017
118023,2014-11-14T00:00:00,1.0,-18.4161,-70.3216,14,11,2014
118025,2019-11-08T00:00:00,2.0,-18.5753,-70.0236,8,11,2019
118077,2019-12-28T00:00:00,23.0,-30.2238,-60.0137,28,12,2019
118110,2017-02-05T00:00:00,4.0,-25.6664,-48.4805,5,2,2017
118114,2019-03-02T00:00:00,5.0,-31.2533,-50.9881,2,3,2019
118147,2011-01-04T00:00:00,1.0,-37.7662,176.48,4,1,2011
118304,2016-12-11T00:00:00,,-34.0827,18.5132,11,12,2016
118327,2013-11-15T00:00:00,8.0,-18.4069,-70.3239,15,11,2013
118330,2019-01-30T00:00:00,2.0,-6.9026,-79.9002,30,1,2019
118334,2019-01-24T00:00:00,2.0,-18.4101,-70.3273,24,1,2019
118351,2017-10-28T00:00:00,30.0,-36.2941,-56.7756,28,10,2017
118357,2014-09-14T00:00:00,10.0,-13.7408,-66.0831,14,9,2014
118374,2019-10-21T00:00:00,44.0,-36.2941,-56.7756,21,10,2019
118404,2015-10-05T00:00:00,1.0,-23.4258,-45.083,5,10,2015
118437,2010-02-15T00:00:00,1.0,-6.9073,-79.8923,15,2,2010
118440,2016-02-13T00:00:00,103.0,-38.8167,-62.0667,13,2,2016
118444,2016-11-30T00:00:00,562.0,-34.7933,-54.5703,30,11,2016
118466,2018-11-13T00:00:00,8.0,-18.4165,-70.3224,13,11,2018
118478,2018-04-15T00:00:00,,-31.3075,-50.9743,15,4,2018
118504,2016-10-29T00:00:00,2.0,-23.7196,-46.7166,29,10,2016
118515,2019-11-17T00:00:00,5.0,-34.7653,-56.4057,17,11,2019
118525,2017-02-22T00:00:00,,-13.618,-71.7304,22,2,2017
118568,2017-10-28T00:00:00,1.0,-25.2712,-57.6298,28,10,2017
118571,2015-02-05T00:00:00,,-34.2826,-53.9028,5,2,2015
118577,2019-09-25T00:00:00,2.0,-34.8783,-54.9155,25,9,2019
118596,2018-03-03T00:00:00,3.0,-36.2941,-56.7756,3,3,2018
118600,2018-03-29T00:00:00,3.0,-31.6551,-63.5283,29,3,2018
118629,2014-07-20T00:00:00,1.0,-38.7925,-73.3959,20,7,2014
118633,2012-11-28T00:00:00,2.0,-12.2141,-76.9893,28,11,2012
118724,2018-10-06T00:00:00,1.0,-23.2191,-44.7094,6,10,2018
