,Galaxy ID,SDSS ID,RA,DEC,Black Hole Mass,Stellar Velocity Dispersion,Stellar Mass,SFR,Ref,Unnamed: 9,#VALUE!,Unnamed: 11,Unnamed: 12
95,G143,J121528.04+322731.3,183.86685,32.458702,7.807954538,131.027585541318,10.29890703,-0.487953353,5.0,,-0.047379139,,
96,G145,J134849.48+405852.6,207.20618,40.98127,7.994051663,121.476985012205,10.54346546,0.545422374,5.0,,0.051730845,,
97,G146,J135432.30+542830.5,208.63457,54.47515,7.810884224,112.384831570217,10.71745168,0.442884426,5.0,,0.041323669,,
98,G147,J093008.03+090651.4,142.53346,9.114275,8.071031413,94.2014390930024,10.39528953,0.838274889,5.0,,0.080639879,,
99,G148,J133237.94+593053.8,203.1581,59.51494,7.665335523,222.013081903643,10.67579161,1.732049024,5.0,,0.162240805,,
100,G149,J080436.34+063416.2,121.15143,6.5711737,8.222754427,115.702351601099,10.67877725,1.098454815,5.0,,0.102863351,,
101,G151,J140400.84+152636.4,211.00348,15.443431,8.112078112,194.580858419523,10.7141068,1.354001153,5.0,,0.126375551,,
102,G153,J121117.23+243711.4,182.82181,24.619843,8.002411341,148.120683726643,10.84103852,1.008129253,5.0,,0.092991945,,
103,G155,J101458.12+313931.7,153.74219,31.658813,8.23420905,145.576151278269,10.418414,0.127991799,5.0,,0.012285152,,
104,G156,J152136.72-000054.0,230.403,-0.015006721,7.657569586,121.484316831926,10.57778665,-4.243125512,5.0,,-0.401135479,,
105,G159,J104641.16+511927.5,161.67148,51.324314,7.982269581,198.915796330078,11.08239919,-1.204638365,5.0,,-0.108698337,,
106,G161,J095758.29+285347.1,149.49287,28.896427,8.170750041,124.755146695913,10.79809667,1.359989962,5.0,,0.125947193,,
107,G164,J135447.85+420641.5,208.69939,42.111523,8.020739363,64.9795548075677,10.82782551,1.259025201,5.0,,0.116276828,,
108,G166,J152036.05+312225.9,230.1502,31.373856,8.003437468,160.043523856273,10.5403269,-0.442003701,5.0,,-0.041934534,,
109,G167,J091004.14+092605.9,137.51726,9.434968,7.993112372,248.193383164654,10.93593585,0.456584017,5.0,,0.041750795,,
110,G168,J163806.34+471212.7,249.5264,47.20352,7.595781298,135.186490554436,10.1669958,0.619104865,5.0,,0.060893589,,
111,G171,J144331.27+492335.2,220.8803,49.393124,7.61644848,119.745336304464,10.32972532,0.435319685,5.0,,0.042142426,,
112,G172,J111253.95+033832.1,168.2248,3.6422458,8.126225172,173.001573330659,10.74557975,0.637515855,5.0,,0.059328195,,
113,G173,J151021.25-020402.8,227.58856,-2.067433,8.127587312,189.935645164552,10.55804183,1.588278842,5.0,,0.150433089,,
114,G175,J151549.99+605044.5,228.95828,60.8457,8.122463167,185.752639407701,10.58177132,-1.720163772,5.0,,-0.162559152,,
115,G177,J075752.14+434504.1,119.46724,43.751152,7.913288681,194.651988116512,10.74759189,0.977959091,5.0,,0.090993322,,
116,G178,J172350.15+653404.2,260.95895,65.56784,7.717950968,168.475444588312,10.83243165,0.422295468,5.0,,0.038984365,,
117,G179,J133715.92+030936.6,204.31633,3.1601796,8.16078808,156.787185418717,10.70779153,1.168630598,5.0,,0.109138341,,
118,G181,J122438.32+584249.3,186.15967,58.713707,8.273338295,226.080887156822,11.13229643,-1.622533728,5.0,,-0.145750137,,
119,G182,J164117.53+355931.3,250.32306,35.992035,7.77053599,111.936135166886,10.41006401,-0.172600625,5.0,,-0.016580169,,
120,G183,J112930.76+431017.3,172.37817,43.17147,7.807388566,138.266331868439,10.96397992,1.555729777,5.0,,0.141894621,,
121,G185,J125132.28-015902.8,192.8845,-1.9841027,7.563290807,195.893322148935,10.42752799,1.240408492,5.0,,0.118955182,,
122,G187,J073735.59+430851.2,114.3983,43.147552,7.924654186,179.736700757167,10.55000698,0.842898601,5.0,,0.079895549,,
123,G188,J154606.97+034757.0,236.52904,3.7991755,8.123832216,190.802600490526,10.68172702,0.726180044,5.0,,0.067983393,,
124,G190,J173809.30+584253.7,264.53876,58.714905,7.462514393,117.041013291604,10.32350086,-0.379079716,5.0,,-0.036720074,,
125,G191,J151109.94+423434.5,227.7914,42.57626,8.188001512,260.893912802943,11.01574857,0.823985975,5.0,,0.074800725,,
126,G192,J102519.56+353251.8,156.3315,35.547733,8.131155107,197.505138762018,10.45024102,1.857741656,5.0,,0.177770221,,
127,G193,J125824.58+540429.9,194.60242,54.07497,8.093969572,70.848714584115,10.93554683,1.759295507,5.0,,0.160878604,,
128,G194,J123312.06+142352.7,188.30026,14.397959,8.026799336,140.453358129997,10.664409,0.914084252,5.0,,0.08571354,,
129,G195,J130842.24+021924.5,197.176,2.323464,8.106894854,182.263329497849,10.57536364,0.398090513,5.0,,0.037643199,,
130,G197,J134321.37+232039.2,205.83904,23.34422,8.0251675,149.104629287922,10.59302395,0.694891346,5.0,,0.065598959,,
131,G198,J113925.56+451346.7,174.85649,45.22965,7.628282743,183.904252049458,10.73748996,1.0647248,5.0,,0.099159562,,
132,G199,J103110.56+115317.7,157.79402,11.888255,7.494916027,155.472050660656,10.83298261,0.831753298,5.0,,0.076779713,,
133,G203,J115204.86+383859.6,178.02023,38.6499,8.114213787,76.23267520671939,10.70782083,0.984800083,5.0,,0.091970168,,
