,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
88552,2140386551,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS593849044,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,EC,Quito airport pond,Pichincha,PRESENT,8.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.109842,-78.365,,,,,,,2018-03-30T00:00:00,30,3,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS593849044,,,,CC0_1_0,,obsr759627,,,2021-03-09T13:01:08.041Z,,
88560,2724964293,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS837026052,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,Río Aconcagua--Desembocadura,Valparaíso,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-32.9174,-71.5068,,,,,,,2019-12-11T00:00:00,11,12,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS837026052,,,,CC0_1_0,,obsr923919,,,2021-03-09T13:03:27.613Z,,
88566,1717469135,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CL:OBS376035607,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,SN Humedal Río Maipo--Desembocadura,Valparaíso,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-33.6198,-71.6275,,,,,,,2016-02-14T00:00:00,14,2,2016,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_CL,OBS376035607,,,,CC0_1_0,,obsr192735,,,2021-03-09T12:51:42.071Z,,
88567,2749468397,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS704769558,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,"Rio Grande do Sul, BR (-31,312, -51,044)",Rio Grande do Sul,PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-31.3118,-51.044,,,,,,,2019-01-25T00:00:00,25,1,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS704769558,,,,CC0_1_0,,obsr206598,,,2021-03-09T12:54:02.809Z,,
88570,2706430645,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS826133027,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,EC,Refugio de Vida Silvestre Isla Corazón e Isla Fragata IBA,Manabí,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.648045,-80.3158,,,,,,,2019-11-08T00:00:00,8,11,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS826133027,,,,CC0_1_0,,obsr758256,,,2021-03-09T13:05:01.589Z,,
88596,837152973,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS170276262,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,ARG-BA 21 km S of Canal 2,Buenos Aires,PRESENT,35.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-36.7619,-57.2357,,,,,,,1973-10-13T00:00:00,13,10,1973,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS170276262,,,,CC0_1_0,,obsr123276,,,2021-03-09T12:59:18.477Z,,
88597,2714536360,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS879904191,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,BR,Tavares--praia da barra da Lagoa,Rio Grande do Sul,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-31.3075,-50.9743,,,,,,,2018-04-15T00:00:00,15,4,2018,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS879904191,,,,CC0_1_0,,obsr1462150,,,2021-03-09T12:55:08.208Z,,
88618,1782552131,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS454659265,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,CL,Río Lluta--Desembocadura,Arica y Parinacota,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-18.4165,-70.3224,,,,,,,2016-11-03T00:00:00,3,11,2016,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS454659265,,,,CC0_1_0,,obsr346240,,,2021-03-09T13:01:15.319Z,,
88625,2707304457,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS831611266,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,Bañados del Saladillo,Santa Fe,PRESENT,6.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-31.2384,-60.4815,,,,,,,2019-11-24T00:00:00,24,11,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD,OBS831611266,,,,CC0_1_0,,obsr315390,,,2021-03-09T12:55:15.640Z,,
88630,2726388444,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_ARG:OBS845558513,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis dominica,,SPECIES,"Pluvialis dominica (Statius Muller, 1776)",Pluvialis dominica,,AR,La Corvina,Buenos Aires,PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,-36.4703,-57.1314,,,,,,,2019-12-28T00:00:00,28,12,2019,2480328,2480328,HUMAN_OBSERVATION,CLO,EBIRD_ARG,OBS845558513,,,,CC0_1_0,,obsr795598,,,2021-03-09T13:03:25.054Z,,
